,A_all_pvalues,B_all_pvalues,C_all_pvalues,DRB1_all_pvalues,DQB1_all_pvalues,A_ashkenazim_pvalues,B_ashkenazim_pvalues,C_ashkenazim_pvalues,DRB1_ashkenazim_pvalues,DQB1_ashkenazim_pvalues
const,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,1.046051563749312e-292,8.280365566553799e-293,6.792118871153634e-293,7.45520072635331e-293,1.034687403020177e-292,6.651565472014074e-151,5.999897609855499e-151,5.945813690764207e-151,5.609154250397621e-151,7.112331746812211e-151
Age_BMI,2.433739991938186e-118,2.090705310309971e-118,2.428051501164415e-118,1.95754303991286e-118,2.226297220899928e-118,6.258667710612891e-53,5.333738136242194e-53,6.421413159928212e-53,6.414432862969514e-53,6.200740654352174e-53
Birth_year,5.98951965099849e-05,6.137577665820058e-05,6.142125206298446e-05,5.961372894484363e-05,6.127736618703645e-05,0.04479825229129115,0.04559416626372073,0.04492064105479922,0.04455277363052448,0.04543295636375978
Year_BMI,0.009706315784628211,0.009949079376803074,0.009895318266234722,0.009944539674926355,0.00977601341438986,0.2972652448181586,0.302904093769328,0.2976120434860042,0.2974192290690877,0.2976334543425914
dapar_3gr,2.7496954979576e-27,2.521684311101424e-27,2.421344971906616e-27,4.04062026871398e-27,2.540219621294113e-27,6.697526637564507e-11,5.27541526651397e-11,5.325431964245133e-11,7.185655056010404e-11,5.91620899505134e-11
Educ_GE11YN,5.285737883375743e-06,5.384688772357112e-06,5.397020294750846e-06,5.34876592807659e-06,5.302578570059353e-06,0.000120663451350407,0.0001203302280777231,0.0001178773806569237,0.0001161226978679981,0.0001166771312105037
Eshkol_3gr,5.498235659753692e-133,3.759476472067583e-133,3.087213860183077e-133,5.624880808416046e-133,3.46035148675212e-133,3.044048599790881e-76,2.174942736837153e-76,2.064203696129034e-76,2.957770020057592e-76,1.943415263965432e-76
Israeli,6.38760184715766e-122,2.996599679396053e-122,3.498114359441976e-122,1.02248395758353e-122,4.262176496247851e-122,3.512143647015583e-26,1.669940545852467e-26,1.854756842333952e-26,1.693957628710944e-26,2.59249100896432e-26
Homozygous,0.01922899335689655,0.003833996401643381,0.0001047354458789815,8.106312683263171e-07,0.8113972123005178,0.01012091446104692,0.0009672200983514025,0.007559649604481914,0.0002864688337824648,0.7454987111430508
