,1_A_all_coefs,2_A_all_coefs,1_B_all_coefs,2_B_all_coefs,1_C_all_coefs,2_C_all_coefs,1_DRB1_all_coefs,2_DRB1_all_coefs,1_DQB1_all_coefs,2_DQB1_all_coefs,1_A_ashkenazim_coefs,2_A_ashkenazim_coefs,1_B_ashkenazim_coefs,2_B_ashkenazim_coefs,1_C_ashkenazim_coefs,2_C_ashkenazim_coefs,1_DRB1_ashkenazim_coefs,2_DRB1_ashkenazim_coefs,1_DQB1_ashkenazim_coefs,2_DQB1_ashkenazim_coefs
const,-2.610367608894831,-3.955435529127115,-2.609953875027362,-3.960570810126725,-2.606953703355814,-3.956153114578073,-2.607245683605245,-3.95432314343414,-2.613418546776498,-3.966061192184821,-2.498464563835187,-3.858763020707702,-2.498344613924768,-3.867088352407915,-2.496211869523958,-3.870899171055014,-2.49622221284694,-3.86448976539933,-2.504469801826892,-3.872198441076105
MIN,-0.3673169805790882,-0.4221322677358075,-0.3673825548331264,-0.4222103464782369,-0.3674356511711891,-0.4222948261989699,-0.367410941804432,-0.422274325577945,-0.3673197905052551,-0.4221362029888496,-0.3973668002958371,-0.412518769255613,-0.3974378734684011,-0.4125524211297819,-0.3974581373594198,-0.4124963724359098,-0.3974796023897361,-0.4126133952555916,-0.3973320038435935,-0.4124687037799942
Age_BMI,0.1788383131527799,0.1171979768068255,0.1788813172237836,0.1172864739321708,0.1788379370370406,0.1172230165625401,0.1789039273592031,0.117301969898823,0.1788596636266111,0.1172654873574702,0.167749238035474,0.1240723517498311,0.1678609643138447,0.1241802802021773,0.1677227450938592,0.1240892072245493,0.1677404515955479,0.1240385791412018,0.1677477381339637,0.1240954013564294
Birth_year,-0.2751953832520713,-0.1294776428798762,-0.2749248007659327,-0.12855800102412,-0.2749027273885047,-0.1286422068313662,-0.2753071390410036,-0.1293213777739499,-0.2749466285731991,-0.128568898324323,-0.1931311276973661,-0.151944536585096,-0.1925857103406003,-0.1504796916151965,-0.193226210725472,-0.150801351507188,-0.1934467016605943,-0.1516139036478645,-0.1927049490615627,-0.1507217275783584
Year_BMI,0.1567515371152748,0.1761417680162333,0.1562769622613048,0.175239150671358,0.1563893324831819,0.1754060538509227,0.1562961852384372,0.1752872422850797,0.1566336986990659,0.1756912875881741,0.0867837735102537,0.1339901329142292,0.0857239677903361,0.1325669979126221,0.08674501055024407,0.1336917580828939,0.08675393237175923,0.1338825810691644,0.0867352594353072,0.1337091029130683
dapar_3gr,0.03597605209433034,0.1401572161238201,0.03600795305892007,0.1402425251361334,0.03602533632190458,0.1402711177110373,0.03581406478412576,0.1399600883666867,0.03600077745321853,0.140253435743647,0.03472481622581099,0.1053636787622419,0.03495361292333006,0.1057664862299407,0.03496511174723085,0.105640782320563,0.03462262400780225,0.1054139595385605,0.0348367094974522,0.1055988195855583
Educ_GE11YN,0.01959907117458196,0.03949306765872491,0.01958010282097379,0.03945850132272725,0.01957868434227321,0.03945237304535431,0.01958842717102164,0.03947677003862844,0.01959567475669185,0.03948894648710274,0.02386918645994084,0.05367432386155568,0.02385524267161375,0.05372207531158085,0.02389091306513519,0.05379671668692711,0.02392029386015871,0.05380534488066262,0.0239117508193623,0.05380472477674621
Eshkol_3gr,0.1109615265247056,0.1659851109078873,0.1110108206616936,0.1661719993375299,0.1110483713175465,0.1662117587023689,0.1109451768712724,0.166069350578522,0.1110282053779744,0.1661627769294185,0.1264211566400803,0.1692206778768617,0.1265059990558695,0.1695427908721897,0.1265166570423316,0.1695619824680658,0.1263997072038612,0.1694199504330161,0.1265470360541165,0.1695605280219954
Israeli,0.4331330462080589,0.2062282956174801,0.4335579593827199,0.2073153681872877,0.4334415111074441,0.2072477538606773,0.4342942991241967,0.2084075463248522,0.4334162338831644,0.2068846443228376,0.2818994630983946,0.1274745394939924,0.2833740817014874,0.1300900559207766,0.2832344935576884,0.1293660019293683,0.2833482341973388,0.130019566989977,0.2823550690929135,0.1292363143133399
Homozygous,-0.03125744094024633,-0.09402110553332817,-0.06271671802858995,-0.06512536762480299,-0.06035548347484902,-0.07596248499024968,-0.08020929894288926,-0.130336569144741,0.0009373120364744937,0.01420695239220963,-0.05035788061519127,-0.1487891321513906,-0.105819666775536,-0.1143076854053958,-0.07447446349594038,-0.01589530331969184,-0.0957608834391688,-0.1067644129963187,0.008135822137023461,-0.001832263383606849
