,A_all_coefs,B_all_coefs,C_all_coefs,DRB1_all_coefs,DQB1_all_coefs,A_ashkenazim_coefs,B_ashkenazim_coefs,C_ashkenazim_coefs,DRB1_ashkenazim_coefs,DQB1_ashkenazim_coefs
const,-2.381083650621707,-2.381573873623612,-2.378336993475888,-2.378305503846291,-2.38536692492103,-2.270866373395271,-2.272253501538542,-2.271172294422836,-2.270051156123562,-2.278200887548447
MIN,-0.376373563457069,-0.3764403051338729,-0.3764990149714699,-0.3764751223191243,-0.3763759901966773,-0.4001979897089615,-0.400260193090789,-0.4002684181633924,-0.4003050846561421,-0.4001586538201766
Age_BMI,0.1694135240642034,0.1694629004582609,0.1694169050588775,0.1694871664728172,0.1694409306023731,0.1604671133238982,0.160579072021219,0.160446373168989,0.160455285142429,0.1604705883859378
Birth_year,-0.2522842740761509,-0.2519208765568413,-0.2519137779728366,-0.2523543483926734,-0.2519430292624842,-0.1860540720865491,-0.1853602238047078,-0.1859396415389587,-0.1862662648344802,-0.1854996174886004
Year_BMI,0.1605474388473093,0.1600180988653341,0.1601368674371786,0.1600284605300039,0.1603927892792836,0.095258646894122,0.09415103944413791,0.09518637902102806,0.09522776672106,0.09518341282148754
dapar_3gr,0.05321531721129708,0.05325612729425205,0.05327479172137526,0.05304613531508712,0.05325231288798665,0.04737048781429973,0.04763188769283437,0.04762087530804954,0.04729707749604309,0.04750580709845715
Educ_GE11YN,0.02220624282340899,0.02218446174814124,0.02218279640857695,0.0221937206849326,0.02220199386339652,0.02832962367453172,0.02832684764888999,0.02836700810891324,0.02839390654083397,0.02838714061521638
Eshkol_3gr,0.1200854113424179,0.1201577753257756,0.1201954438861748,0.1200850009060915,0.1201709724001855,0.1340453110484051,0.1341732601014945,0.1341888742359448,0.1340641218076275,0.1342101979571819
Israeli,0.396007205228903,0.3965317271046994,0.3964225381564211,0.3973349275445734,0.3963390878312565,0.2546764054001599,0.256352163571173,0.2561063258431272,0.2563203307323363,0.2553639894516162
Homozygous,-0.04125323723062504,-0.06300980741444276,-0.06287782729292306,-0.08803129666738264,0.003152846500241789,-0.06722092011516972,-0.1072492606168352,-0.0638060824910326,-0.09762301384830692,0.006404079702958354
