,1_A_all_fat_pvalues,2_A_all_fat_pvalues,1_B_all_fat_pvalues,2_B_all_fat_pvalues,1_C_all_fat_pvalues,2_C_all_fat_pvalues,1_DRB1_all_fat_pvalues,2_DRB1_all_fat_pvalues,1_DQB1_all_fat_pvalues,2_DQB1_all_fat_pvalues,1_A_ashkenazim_fat_pvalues,2_A_ashkenazim_fat_pvalues,1_B_ashkenazim_fat_pvalues,2_B_ashkenazim_fat_pvalues,1_C_ashkenazim_fat_pvalues,2_C_ashkenazim_fat_pvalues,1_DRB1_ashkenazim_fat_pvalues,2_DRB1_ashkenazim_fat_pvalues,1_DQB1_ashkenazim_fat_pvalues,2_DQB1_ashkenazim_fat_pvalues,1_A_all_skinny_pvalues,2_A_all_skinny_pvalues,1_B_all_skinny_pvalues,2_B_all_skinny_pvalues,1_C_all_skinny_pvalues,2_C_all_skinny_pvalues,1_DRB1_all_skinny_pvalues,2_DRB1_all_skinny_pvalues,1_DQB1_all_skinny_pvalues,2_DQB1_all_skinny_pvalues,1_A_ashkenazim_skinny_pvalues,2_A_ashkenazim_skinny_pvalues,1_B_ashkenazim_skinny_pvalues,2_B_ashkenazim_skinny_pvalues,1_C_ashkenazim_skinny_pvalues,2_C_ashkenazim_skinny_pvalues,1_DRB1_ashkenazim_skinny_pvalues,2_DRB1_ashkenazim_skinny_pvalues,1_DQB1_ashkenazim_skinny_pvalues,2_DQB1_ashkenazim_skinny_pvalues
const,0.0,4.528215133578438e-264,0.0,2.523596023256373e-266,0.0,6.808869491185137e-265,0.0,3.653847804416114e-266,0.0,7.363734070642031e-266,2.743536886657213e-239,3.561542750690886e-129,1.70280764768969e-240,6.802865773079854e-130,5.649422603801076e-238,1.361375548990349e-129,2.737345121050856e-240,6.452499442497428e-130,1.558757062625986e-240,9.380614960827946e-131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,1.248787524543808e-22,6.24820987286588e-11,1.216378629977204e-22,6.26397549407629e-11,1.195313240899529e-22,6.230070624094732e-11,1.20649705963597e-22,6.27480283250803e-11,1.262195079197171e-22,6.288498326538227e-11,8.358292025047735e-15,3.057604283682243e-06,8.447215150900476e-15,3.070912620825521e-06,7.72377671708901e-15,3.086465629177064e-06,8.760679706050184e-15,3.077122151526736e-06,8.806971091415016e-15,2.991827709028747e-06,3.006919409234431e-215,7.632901996854344e-55,2.555901240671835e-215,7.206391752061492e-55,2.33339509413217e-215,6.868518715235258e-55,2.454740802854734e-215,7.00243274208207e-55,2.982589185097975e-215,7.555419696002359e-55,2.322698245961517e-108,3.776565793208619e-26,2.105596792803069e-108,3.655825517051723e-26,2.19697936180757e-108,3.743074400621456e-26,1.942383005113673e-108,3.550136770520423e-26,2.40723746957105e-108,3.684776076863064e-26
Age_BMI,1.139319041032241e-32,4.138407737121659e-05,1.102255290973294e-32,4.149948759354502e-05,1.305694499763825e-32,4.211608305285268e-05,1.120356991238876e-32,4.154386313412206e-05,1.137895703789063e-32,4.187071285015735e-05,4.358824021213585e-15,0.00801630125215348,4.06865733141839e-15,0.007997825619987995,4.802587595944454e-15,0.007997795512165336,4.401121617923156e-15,0.008010057181017388,4.388768125962987e-15,0.007931829811793096,2.657164408652847e-91,7.399183123031406e-09,2.366477983564715e-91,7.188647758651904e-09,2.482363257394941e-91,7.295089435088048e-09,2.34098963690867e-91,7.270516531468341e-09,2.447904175909212e-91,7.206230934080892e-09,1.277800845767984e-37,5.778598459207485e-06,1.17482293025342e-37,5.684370707396863e-06,1.288066929888775e-37,5.789576650537851e-06,1.330840223774044e-37,5.898833266423498e-06,1.299919385552348e-37,5.722798302006001e-06
Birth_year,0.02567964671997359,0.533014059611946,0.02588091063474517,0.5330993331567313,0.0251889003093683,0.5348312248033795,0.02544288186838946,0.5337323038918717,0.02563201423027829,0.5335237272728313,0.2977994939753714,0.9802019020398632,0.2998028283360538,0.9808638236034258,0.2897450488800249,0.9813382801811948,0.2957895228611354,0.9812149334251871,0.2984730401123388,0.9858739684582851,0.0006754559106155977,0.1935427593405679,0.0006845486048746864,0.195291126732874,0.0006907528782805871,0.1955543595773922,0.0006732032127762988,0.1932801139420707,0.0006873343602419297,0.1954113860494577,0.1115671701206808,0.4225103897876452,0.1124517560535887,0.4266771482947962,0.1119846430753093,0.4259155291705244,0.1111121594122741,0.4232432194421735,0.1122175178169757,0.4254448513122531
Year_BMI,0.1847897447362656,0.5930844068823942,0.1869485238474938,0.5937066116105624,0.1832124254450612,0.5956073016715224,0.1845732055861135,0.5947475903983825,0.1845294750007991,0.595206112887728,0.632529370268633,0.9050949853314917,0.6379365131981161,0.9045629150562355,0.6209867107544316,0.904710269451892,0.6292658379958985,0.9050199114891103,0.6312207445591792,0.901280144017881,0.07040443146431412,0.1162840840604045,0.07125831607560416,0.1175690081062245,0.07138148889266695,0.1176055277331679,0.07150224412379341,0.1175377424991623,0.07079681274344159,0.1170523046611274,0.528440503526183,0.448063160409173,0.533558531296755,0.4523643479565974,0.5299466231542964,0.4492588860887705,0.5295381010232332,0.4486107053212857,0.5284870869697169,0.4489268779262721
dapar_3gr,0.0005425802993917219,2.437520111916937e-08,0.0005371999065569995,2.267060077618524e-08,0.000519525293554672,2.227983740113562e-08,0.0005789954697092391,2.306580228887831e-08,0.0005407236919945665,2.234621877623114e-08,0.05372606000303159,0.0004716003876694549,0.05112189522558476,0.0004669907443403668,0.04999642196540276,0.0004716297024499946,0.05421687553695972,0.0004668363778011572,0.05303295311391606,0.0004498557382928921,3.363788304464651e-15,6.34673183071491e-30,3.246300849322952e-15,6.072264506609807e-30,3.219664652589151e-15,5.991362605740072e-30,4.149488863703187e-15,8.039395460879692e-30,3.259108151930566e-15,6.10464346698683e-30,9.585659619996042e-07,1.57956042541295e-08,8.614519970571012e-07,1.367033138771301e-08,8.729334295639423e-07,1.430070554361383e-08,1.029690343587075e-06,1.577387249542299e-08,9.027266320093093e-07,1.513848723709152e-08
Educ_GE11YN,0.539654029920435,0.0637956373049834,0.54304464290567,0.0639663957428694,0.5398326301249898,0.06386768823634542,0.5414183174692522,0.06386441815606854,0.5396710888388179,0.06380683662535704,0.800310862779877,0.1299693754817921,0.7965989768544199,0.1295980771544148,0.7915631075119939,0.1296131626477666,0.7977781937126773,0.1294319822111726,0.7952739138937897,0.1300914987878778,2.882829972468842e-07,0.001409482199004198,2.867746233048428e-07,0.001403607916355986,2.900672751992772e-07,0.001411231305325567,2.917136622689739e-07,0.001415113945503131,2.874048209231609e-07,0.001401650438382189,0.001063435444254806,0.01547501654274027,0.001071306551980918,0.01537730649878876,0.001063442047953949,0.01524441841963926,0.001039547429801593,0.01514158910851091,0.001052555419647844,0.01519864457968663
Eshkol_3gr,1.403952739157778e-15,6.824453144684828e-10,1.432479790146542e-15,6.478709736313271e-10,1.31067171556947e-15,6.358541218684982e-10,1.451049923101615e-15,6.47161361316049e-10,1.370765857047665e-15,6.38721133581069e-10,6.798002278672249e-14,1.609576278617759e-06,6.48918168132846e-14,1.586975045343594e-06,6.163277173892512e-14,1.577691122963432e-06,6.64293426488151e-14,1.569524475962087e-06,6.119563250461695e-14,1.470060592705488e-06,8.927364891585198e-84,3.705776952700582e-37,7.164851442928044e-84,3.12214075444371e-37,6.64634028625943e-84,3.029024637107015e-37,9.044271362837597e-84,3.535299844588635e-37,7.074629704185576e-84,3.160963775314305e-37,1.64747690910019e-46,2.86915087767803e-19,1.452452826563799e-46,2.35333662200562e-19,1.442542739666027e-46,2.341661462985156e-19,1.751994251334112e-46,2.571552185878261e-19,1.402561011168693e-46,2.30917523898194e-19
Israeli,9.149260563778337e-16,0.2576003718765484,7.964178868368242e-16,0.2499336322867217,8.595823978401113e-16,0.2510114774683078,7.313926284038418e-16,0.2497641085208318,7.976134586505314e-16,0.254112732123562,0.0009924057582861513,0.6893250821273732,0.0008322283857762955,0.6845340628617481,0.0008675785084460775,0.6873836570778938,0.0008716333756597076,0.688826752043738,0.0009341422777940788,0.7105533346801984,3.656225351149845e-108,9.657740969777136e-08,2.279729485475292e-108,8.565004368770977e-08,2.485484631807933e-108,8.604935930359356e-08,1.055805333011968e-108,7.322782589837026e-08,3.125843623715387e-108,8.966250524008368e-08,8.525188248457988e-25,0.01474139751668096,5.674972490332324e-25,0.01279719338950095,5.990870612944282e-25,0.01321918163551926,5.555114334450104e-25,0.01282234835401611,7.695633810052196e-25,0.0129226000255735
Homozygous,0.4869251146961685,0.1002868443782162,0.05664235278778747,0.6374915767501595,0.003831242614640956,0.4377963300475602,0.1192808978460149,0.8328136461360752,0.551767059678693,0.7166176088823458,0.1384200993058888,0.7311920304715314,0.02725741407973003,0.8387168557268181,0.003657831820742074,0.8913513735259296,0.135414468441145,0.8339829393729536,0.86661485119871,0.08916063274160112,0.1279668389971778,0.113924791662845,0.04855482990887885,0.230617311306039,0.01983628665799985,0.06944468043308004,9.782980860567747e-05,0.0009673587745356331,0.7099532542930005,0.7725506444802814,0.2040739048477637,0.01186692424898165,0.02980211351172182,0.1104020894756916,0.1021699867372588,0.7007663254071453,0.003765506659999359,0.03684943290076503,0.6039605575507659,0.3441481782484881
